                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2669,                 1.3385,                 1.4396,                0.90421,                0.83853,                0.93458,                0.62118,                 1.2008,                  0.696,                 1.3912,               0.067018,             0.00033315,             0.00033315
                      1,                 1.0253,                0.56574,                 1.2218,                0.87978,                0.82502,                0.91512,                0.59893,                 1.2587,                0.77215,                 1.4354,               0.033985,             0.00063319,             0.00063319
                      2,                0.96454,                0.48848,                 1.1662,                0.86907,                0.83153,                0.90638,                0.59187,                 1.2495,                0.75918,                 1.4194,             0.00091846,             0.00089993,             0.00089993
                      3,                  0.942,                 0.4666,                 1.1247,                0.91498,                0.79139,                0.89007,                0.57815,                 1.3092,                 0.9524,                 1.4104,             0.00085015,             0.00085015,             0.00085015
                      4,                0.90583,                 0.4337,                 1.1114,                0.90302,                 0.8612,                0.93712,                 0.6406,                 1.2038,                0.69403,                 1.3389,             0.00085015,             0.00085015,             0.00085015
                      5,                0.87305,                0.40884,                 1.0919,                0.88076,                0.82647,                0.91743,                 0.6116,                 1.2908,                0.76233,                 1.4476,              0.0008002,              0.0008002,              0.0008002
                      6,                0.84911,                0.38518,                 1.0963,                0.84825,                0.80081,                 0.8947,                0.59539,                 1.2809,                0.87959,                 1.4375,             0.00075025,             0.00075025,             0.00075025
                      7,                0.83315,                0.37437,                 1.0694,                0.86717,                0.84022,                 0.9135,                0.61618,                 1.2556,                0.83701,                 1.3971,              0.0007003,              0.0007003,              0.0007003
                      8,                0.81013,                0.35765,                   1.07,                 0.8756,                0.82184,                0.91308,                0.61906,                  1.278,                0.81696,                 1.4187,             0.00065035,             0.00065035,             0.00065035
                      9,                0.79221,                0.34545,                 1.0533,                0.86192,                 0.7963,                0.88653,                 0.6075,                 1.2721,                 1.0514,                  1.429,              0.0006004,              0.0006004,              0.0006004
                     10,                0.77783,                0.33673,                 1.0349,                0.86103,                0.80716,                0.89376,                0.61339,                 1.2901,                   0.98,                 1.4239,             0.00055045,             0.00055045,             0.00055045
                     11,                0.76229,                0.32495,                 1.0281,                0.86391,                0.80038,                0.88798,                 0.6046,                 1.3043,                0.94386,                 1.4322,              0.0005005,              0.0005005,              0.0005005
                     12,                0.74611,                0.31758,                 1.0146,                0.89683,                0.82345,                0.92039,                0.63073,                 1.2905,                0.87112,                 1.4129,             0.00045055,             0.00045055,             0.00045055
                     13,                0.73497,                0.30913,                0.99767,                0.88765,                0.82433,                0.91224,                0.62209,                 1.3028,                 0.9038,                  1.427,              0.0004006,              0.0004006,              0.0004006
                     14,                0.72033,                0.29893,                0.99668,                0.87646,                0.80885,                0.90194,                0.62506,                 1.2927,                0.97983,                  1.428,             0.00035065,             0.00035065,             0.00035065
                     15,                0.70963,                0.29607,                0.99296,                0.87285,                0.79169,                 0.8905,                0.61993,                 1.2913,                 1.0743,                 1.4366,              0.0003007,              0.0003007,              0.0003007
                     16,                0.69692,                0.28555,                0.98947,                0.90976,                0.78322,                0.89733,                0.62317,                 1.2887,                 1.0421,                 1.4316,             0.00025075,             0.00025075,             0.00025075
                     17,                  0.688,                0.28138,                 0.9841,                0.90117,                0.75359,                0.87937,                0.61077,                 1.3038,                 1.2426,                 1.4606,              0.0002008,              0.0002008,              0.0002008
                     18,                0.67172,                0.27455,                0.98232,                0.88152,                0.75736,                0.87855,                0.61128,                 1.3016,                 1.2121,                 1.4716,             0.00015085,             0.00015085,             0.00015085
                     19,                0.66572,                0.26987,                 0.9828,                0.88459,                0.76337,                 0.8816,                0.61413,                  1.306,                 1.2008,                 1.4789,              0.0001009,              0.0001009,              0.0001009
